query,Post ID,Post Content,nickname,link
污染; 2017-12-19; 2017-12-22; 21; 30,1,#冒险小王子#我也打算脚踏实地的做好每是的，动画市场是要管起来，不然还真是太污染小孩了一步了 ​		,dike103,//weibo.com/2516626340/FASuZjLtd?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,2,		//@混乱博物馆:关注 @混乱博物馆 ，转发下面这条微博，我们将抽出5位幸运观众，分别送出由污染空气制成的「AIR-INK 空气墨水」一瓶，|12月24日晚... @微博抽奖平台 开奖。		,桃花源有多遥远,//weibo.com/6174606644/FARH7y22y?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,3,	  【为什么我们看不见空气？】因为空气干净。混乱博物馆... ​	,NA,//weibo.com/6077410003/FASuZhy7k?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,4,		//@混乱博物馆:关注 @混乱博物馆 ，转发下面这条微博，我们将抽出5位幸运观众，分别送出由污染空气制成的「AIR-INK 空气墨水」一瓶，|12月24日晚... @微博抽奖平台 开奖。		,抑郁症患者痛恨春天,//weibo.com/6174606644/FARH7y22y?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,5,	  【为什么我们看不见空气？】因为空气干净。混乱博物馆... ​	,NA,//weibo.com/3125855745/FASuSblUP?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,6,#榆林百姓问政# 【变电站爆炸案例 近几年来有关变电站噪音污染的投诉案例】一、变电站爆炸案例：2002年5月19日晚11时许，位于广州市海珠区新滘镇北山村，广州市电力工业局赤沙变电站的高压线路，因意外原因突然爆炸起火，大火燃烧了近5个小时被扑灭。2002年9月17日18时50分…… |变电站爆炸... ​		,小佰姓,//weibo.com/2815745724/FASuNrvrj?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,7,		男子收购纸业公司废旧吨桶清洗，并将清洗后含有有毒物质的废水排入长江。12月22日，湖北宜昌市猇亭区检察院对外发布消息，因涉嫌污染环境罪，该男子周某某已被检方批准逮捕。 |男子将有毒... ​		,魏氏思语,//weibo.com/2047299300/FASuM1UNX?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,8,#电影妖猫传##美出了界##带着微博去旅行#【非物质文化遗产：怀柔杨门浆水豆腐】杨门浆水豆腐是一种用酸浆淀豆腐的技术，所谓酸浆就是制作豆腐后沥出的汁水，俗称浆水；在温度适宜的情况下，由自身的乳酸菌作用而变酸，行业称为酸浆。利用其含的乳酸来制作豆腐，既规避了化学物品的污染，口感也好。豆腐 ​			...展开全文c,躲真壁磨亲,//weibo.com/5391525101/FASuG5vg5?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,9,		来了一局这个，感觉被污染了 |济南·花园... ​		,俺是爽爽,//weibo.com/3064474400/FASuAvsFG?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,10,@姑苏公安 【小作坊偷排毒物 昆山9名被告获刑】日前，昆山市法院一审对6起污染环境罪案件进行了集中公开宣判，9名被告人因从事非法电镀、氧化作业，排放含有有毒污染物的废水，严重污染环境，被依法惩处。|小作坊偷排... ​		,苏州市虎丘派出所路北社区警务室,//weibo.com/2431741372/FASutpjM7?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,11,		【日照海滨公园】日照海滨公园依山傍海，浪缓滩阔，沙质细润，海水洁净，拥有7公里的黄金海岸线，是北方一流的天然海滨浴场，被有关专家誉为“中国沿海仅存未被污染的黄金海岸”。美籍华裔物理学家丁肇中先生称这里的沙滩“夏威夷所不及”。日照海滨国家森林公园位于山东省日照市北沿海路北首。 ​		,咔咔小生必然马甲66彤,//weibo.com/6158597214/FASuipzDl?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,12,//@山东环境:#秋冬季大气污染综合治理攻坚行动# #环保在行动#,豫鲁风骨,//weibo.com/3460096640/FAS0nFnUA?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,13,	  省厅大气污染强化督导组到莒县城阳街道检查工作 ​	,NA,//weibo.com/1337842694/FASu5rSlz?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,14,		//@混乱博物馆:关注 @混乱博物馆 ，转发下面这条微博，我们将抽出5位幸运观众，分别送出由污染空气制成的「AIR-INK 空气墨水」一瓶，|12月24日晚... @微博抽奖平台 开奖。		,一季槐念,//weibo.com/6174606644/FARH7y22y?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,15,	  【为什么我们看不见空气？】因为空气干净。混乱博物馆... ​	,NA,//weibo.com/3806658983/FAStQnqJy?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,16,		信阳，12月22日，周五，空气质量指数：133，空气质量：轻度污染。 ​		,信阳天气通,//weibo.com/5111804255/FAStQ3nPE?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,17,		新乡，12月22日，周五，空气质量指数：190，空气质量：中度污染。 ​		,新乡天气通,//weibo.com/5111796673/FAStPrK7D?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,18,		孝感，12月22日，周五，空气质量指数：127，空气质量：轻度污染。 ​		,孝感天气通,//weibo.com/5110101726/FAStOyuGr?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,19,		按理说国际行星保护协会是不允许这样做的，不是你想怎样就怎样的，打到地火转移轨道的弊端就是极有可能撞到火星或滞留火星轨道，带来的污染是致命的！而汽车的消毒要比航天器的消毒要麻烦得多.... 马爷的土豪劲儿也许会酿成打错~,XS_ZHOU,//weibo.com/2282969654/FAQyfAtwr?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 21; 30,20,	  马斯克的roadster跑车已经安装在火箭适配器上！预计2018年1月由重型猎鹰火箭直接送入地火霍曼转移轨道！图片来自@Steed的围脖 ​	,NA,//weibo.com/1797968501/FAStOjbp2?refer_flag=1001030103_
