query,Post ID,Post Content,nickname,link
污染; 2017-12-19; 2017-12-22; 41; 50,1,		终于没丢人了 //@成都生活播报: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,金田一8395,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,2,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6222036504/FASfwp76V?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,3,		确定打八折？ //@耍耍成都: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,绝非T山腹血液,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,4,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6380600731/FASfw6jQT?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,5,		重污染来了。 //@成都生活播报: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,挑出射进纵队,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,6,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6410655581/FASfsiGqg?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,7,		吓到我 以为是红色 橙色离红色不远了 //@成都生活播报: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,icecream198102,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,8,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6331736666/FASfr4Smu?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,9,		【西部快报2017】（陕西安塞）是谁污染了我们的水坝，还有几万鱼苗在里面！ 网页链接 （使用@美篇 App创作） ​		,西部快报2017,//weibo.com/6307837317/FASfp4yUb?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,10,		全办公室都呼吸道感染…早上坐个公交一车的人都在咳…这天气哦… //@每日成都事: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,胡芝兰5366,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,11,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6151783185/FASfoqLYa?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,12,		全办公室都呼吸道感染…早上坐个公交一车的人都在咳…这天气哦… //@每日成都事: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,泰科姑爷放浪,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,13,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6374987783/FASfmFBMi?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,14,		最近天空就是一直雾蒙蒙的。 //@每日成都事: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,虫草楦万套,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,15,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6392062587/FASfmoErc?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,16,		有舍必有得，又要搞经济又要搞环境，领导班子也难啊！ //@成都生活播报: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,贺喜W执法新式,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,17,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6380958674/FASfm3qFX?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,18,		重度污染 ​		,楠楠de阳光,//weibo.com/2952650561/FASfluG0y?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,19,		空气质量真的不好我嗓子疼 //@每日成都事: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,团校立方洛克,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,20,#成都身边事# 【24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折】记者刚刚从成都市重污染天气应急指挥部获悉的消息：根据12月22日天气潜势预报，12月24日起我市PM2.5浓度大于115微克每立方米将持续72小时及以上，且PM2.5浓度大于150微克每立方米将持续24小时及以上，按照《 ​		...展开全文c,NA,//weibo.com/6387950963/FASfkjJMh?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,21,		今天空气污染好严重哦，闻着味道就很重金属。。。。 ​		,49827_RTC,//weibo.com/5896593263/FASfjaocl?refer_flag=1001030103_
污染; 2017-12-19; 2017-12-22; 41; 50,22,		感觉治理造污的产业才是根本。 空气质量一年比一年差了。 //@每日成都事: 24日起成都启动重污染天橙色预警 工作日限行扩至绕城内 坐地铁打八折！		,晃荡洞见怕冷,//weibo.com/2885896690/FASbI3ruV?refer_flag=1001030103_
