query,Post ID,Post Content,nickname,link
反腐; 2018-02-18; 1; 5,1,		国家必须立法 : 哪个政府工作人员或者执法个人导致他人上访、民告官的，追究其党纪国法责任！不能让党和政府当被告，更不能让党和政府替这样的违纪违法人员背黑锅！『控告齐齐哈尔市公安局龙沙分局非法拘禁人质拿钱放人！_公安反腐网』网页链接 ​		,公安反腐网,//weibo.com/1631791244/G3E8hBzZc?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,2,		//@抢提包:@邱普中:无耻就无耻，反正是破罐子破摔呗 @人要点灯_pbp:一个国家的司法机关竟然无耻到这种程度，还有什么资格和脸面狂吹这个社会就是法治社会？@抢提包: 牵一发而动全身，利益链条@道借时空: 贪官天天落马，访民不见人扶。反腐为谁反腐？官僚似虎似蝇，祸国何时到头？		,茕茕而南行,//weibo.com/2801072800/Fb6bT9ARC?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,3,	  我在湖北省阳光信访--微信平台上举报的问题。即，襄阳监狱违规建房，襄阳规划局多次修改规划，房管局处罚购房人、而不是违建者。投诉至信访局，可惜，竟然1、将我投诉的问题转至随州市曾都区（图3）2、襄阳市规划局给我的回复是给别人的回复（图4）3、答非所问。反腐、正风成笑话！ ​​​ ​		...展开全文c,NA,//weibo.com/2389084073/G3E7ce7JA?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,4,#中国赞#【新希望集团董事长刘永好：扎扎实实做事清清白白做人】“在新格局下，企业首先还是扎扎实实去做事，要有工匠精神，做事认认真真，不能搞虚的，不能搞一些乱七八糟的假的。第二，我们要清清白白做人。过去几年，中国反腐力度很大，鼓励企业家发展，不要做那些不该做的事，这就是要清清白白的做 ​			...展开全文c,郭引夸郭,//weibo.com/5826251233/G3E5gz6LA?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,5,		要是大明王朝地方政府學會賣地，維穩經費也許還夠花；如果大明反腐能夠成功，中國今天也許還姓朱……|大明灭亡前... ​		,刘军宁,//weibo.com/1227687675/G3E4F22Zd?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,6,		医药界大概是中国养贪养腐的重要领域，是奸商行贿贪官们资金来源最方便和容易之道。政府巨僚和精英们打着改革旗号很轻易地就把百姓血汗钱和国家财政资金套走。但是为什么这方面反腐就是不动真格的呢？分享周蓬安的文章：行贿官员抬高药价，中国该学希腊重惩 (来自@新浪博客) 网页链接 ​		,津海老兵,//weibo.com/1963291964/G3E4trG8s?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,7,		也是悲哀//@如是我闻001:亲友反目反腐已经是我党反腐的一种重要渠道。		,每天都是开始01,//weibo.com/1432458327/G3vuF1NGU?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,8,	  【实名举报，一定转】“我是王燕茹，女，32岁，扬州中行员工，现实名举报原扬州市国资委主任，中共党员黄道龙（65岁）和其子扬州市资源交易中心政府采购科科长、中共党员黄宇（36岁），拥有来历不明的房产、珠宝、书画、成套的红木家具、豪华轿车及大量的银行卡和现金，资产高达几千万。” ​	,NA,//weibo.com/3944808467/G3E3mk7Kw?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,9,		在反腐的队伍中，又增加了准儿媳这个角色......#实话实说#,魏晓军,//weibo.com/2458371534/G3eOEu9qP?refer_flag=1001030103_
反腐; 2018-02-18; 1; 5,10,#老谈说事# 【重磅：扬州官员黄道龙遭儿前女友举报豪车成群豪宅成排古董成堆】近日，扬州市原国资委主任黄道龙被其子黄宇前女友王燕茹举报拥有大量豪车豪宅，资产至少数千万。王燕茹称她在举报过程中，遭到来自黄道龙和扬州市有关部门的压力。王燕茹称，如果她继续举报，扬州市有关部门可能对她采取手 ​		...展开全文c,NA,//weibo.com/1435893624/G3E2G7YHw?refer_flag=1001030103_
