query,Post ID,Post Content,nickname,link
集体行动; 2018-02-18; 1; 25,1,http://t.cn/R6cDVzi，哎呦，不错哟，全程无尿点！比战狼有过之而无不及。集体主义还是比英雄主义更值得推崇！ ​		,Josiebeebies,//weibo.com/1844348880/G3JCc68R4?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,2,#红海行动[电影]# 真的是看的我心跳就没下来过...两个小时全程紧张刺激很过瘾真实血腥的镜头，相比战狼更突出了个人英雄主义，这部更突出了中国军人中国特种兵的集体能力！会飞会开坦克会开飞机的中国特种兵啊#强者无敌# 谢谢你们负重前行 ​		,独角戏chen,//weibo.com/1506198290/G3JyOzcDf?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,3,		回复@用户6457467498:小血头67498看到这六段了吗？我是一边哭一边抹眼泪一边摸字的！希望所有人都能看到，并行动起来去献血救人，没血真要命啊！也希望@爱骑车的李子熙 能看到！不要再抱怨国家卫计委的《龟腚》，几个月前我们无偿献血者就得到消息说国家卫计委明年三月取消个人互助献血，加强集体互助献血等等措施		,思考机器先进技术研究院深圳分院,//weibo.com/2864602044/G3HhU6NIF?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,4,	  朋友们我已经输上板了请不要担心。今天血还是很缺很多人没输上，妇科血液科都很需要血制品。目前还有五六个人没有输上。希望大家可以加入无偿献血献板的行列。这一个多月我们发微博呼吁不要取消互助，结果被删博的删博，被封号的封号，取消互助这件事让我们伤透了心，我是真的明白了徒劳无功，无奈的感 ​		...展开全文c,NA,//weibo.com/2276538255/G3JwH4h3w?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,5,#请给红海行动多一点排片#勇者无惧，强者无敌。有血腥，有暴力，够热血，够爽!跟战狼2比少了个人英雄的主角光环，多了集体的血肉拼搏和厮杀，真实而残忍。为我中国军人而骄傲，想起一句话，哪有什么岁月静好，只不过有人替你负重前行。 ​		,柒个隆冬呛咚呛,//weibo.com/1807480187/G3Jv9l6M8?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,6,		《红海行动》燃爆 你之所以看不见黑暗，是因为有无数勇敢的人把黑暗挡在了你看不见的地方。”这就是中国军人，最勇敢和最可爱的人《红海行动》一刷结束后 我还想二刷 三刷 因为它值得。不同于《战狼》的个人英雄主义 二是一个团队 一个集体有血有肉有感情的战斗... ​		,黄金视力眼贴总代官微,//weibo.com/5513316199/G3JuECzFU?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,7,		建筑是人们生活的空间，也是心灵空间的再造体，传达的是设计师的美的隐喻，影响的是行动者对个体或集体的思考。ps:botton《幸福的建筑》的电影叙事版。    ib《COLIMBUS在哥伦布》 ​		,maja_free,//weibo.com/2281437110/G3Juhwsdq?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,8,#红海行动[电影]##红海行动# 电影的特效和演员的演技都在线 全程情节紧凑我一直特别紧张心脏狂跳 比战狼真实 更多的是集体行动 一个人是完成不了任务的 而且大家都不是所向披靡 有人受伤有人牺牲 搏斗时大家都很费劲 画面挺多是人被炸得血肉模糊的 但真正的战争只会比电影惨烈 特别喜欢狙击手太帅了 ​			...展开全文c,pobizannn,//weibo.com/2674866270/G3JtMeLIu?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,9,		由林先生执导和中国解放军海政电视艺术中心出品的《红海行动》是一部制作精致和大手笔的大片，比林先生导演的《湄公河行动》还要燃，更充满某一种国家向上的力量。《战狼二》突出个人符号和国家背景元素，《红海行动》体现了集体合作和国家行动。我向朋友们推荐！ ​		,刘长平99,//weibo.com/1876085202/G3JsPrrrp?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,10,http://t.cn/R6cDVzi，#红海行动# 我觉得比战狼好看，林导一如既往地没有让观众失望。没有个人英雄主义，只有集体精神。没有对祖国生硬的赞美，但其展现的我国对恐怖主义的态度和对中国侨民一个也不落下的决心胜于言表。取景真的很棒，看到了自己曾经流连过的卡萨布兰卡和阿 ​			...展开全文c,小橙子昕仔,//weibo.com/3231181322/G3JrJaa6U?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,11,		付出大力气在乡村建设上，文化建设如宗祠文化，基建如道路房屋，经济建设如脱贫，制度建设如基层党支部、村委换届程序严格化，都是为了重振乡村文化。通过新乡贤文化和新兴宗族文化，将乡村出现的种种乱象彻底根除，扫黑行动也是这盘大棋的重要一环，为新乡村精神集体扫平障碍！执中国者，大智慧也！ ​		,小妞请叫我刘四爷,//weibo.com/5261712154/G3JiblprL?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 25,12,		带着左左一起看#红海行动#，同《战狼》2剧情撤侨行动，但影片️没有个人的英雄主义，是一个协作的团队，集体的力量；不是英雄战无不胜毫发无伤的胜利，是8人2死满地血腥的真实。蛟龙出海，扬我国威！ ​		,夏日香樟0402,//weibo.com/1775780713/G3Jh5jImG?refer_flag=1001030103_
