query,Post ID,Post Content,nickname,link
集体行动; 2018-02-18; 1; 5,1,#牵妈妈的手#新的一年，别走得太快，等等爸爸妈妈……看哭了央视新闻的... ​		,央视新闻,//weibo.com/2656274875/G3DwE69t9?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,2,		有的亲戚实在是太讨厌，明明反复告知了不能乱给小蛮吃东西，不能吃甜食（健康的食物也最好也不要给），还要继续用各种吃的逗小蛮，逗到孩子哭着说：“我不吃，会胖！”。然后她哈哈大笑，简直气炸！ ​		,我家的小蛮,//weibo.com/1736054365/G3DIr8Nc2?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,3,		【 天开一岁暖，花发四时春 … 】 ​		,中国书画诗词院,//weibo.com/2804506181/G3DxslsWM?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,4,#语文课#【你知道在古代怎么称谓年龄吗？】襁褓， 未满周岁的婴儿 ；孩提，两三岁的儿童 ；总角， 八九岁至十三四岁的少年；豆蔻，女子十三四岁至十五六岁 ；加冠，男子20岁…那么，艾是多大？耆是多大？耋是多大？喜寿多大？米寿多大？……活到100岁该怎么说？新年，找找自己的年龄称谓吧↓↓ ​		,央视新闻,//weibo.com/2656274875/G3DIOrRzl?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,5,		有时候选择与某人保持距离，不是因为不在乎，而是因为知道他：​​​​		,思想聚焦,//weibo.com/1742566624/G3DxR7u3S?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,6,		上师和老师不一样，学生一旦毕业，就与老师天各一方，几乎再无交集；而上师即使离开了，也会时时陪伴着我们的成长，指引着我们的人生方向。 ​		,慈诚罗珠堪布,//weibo.com/1397323170/G3DwZD35N?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,7,		【平庸的人只会纸上谈兵，优秀的人懂得身体力行】今天大年初三，新的一年， 你有什么新计划吗？好的生活需要你的用心经营，机会只会留给那些做好准备的人。每一次普通的改变，都可能改变普通。从今天起，早睡早起、按时吃饭、不再熬夜…努力做到这9个改变↓↓新的一年，与全新的自己不期而遇！早安！ ​		,人民日报,//weibo.com/2803301701/G3DwE7S0X?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,8,		有的亲戚实在是太讨厌，明明反复告知了不能乱给小蛮吃东西，不能吃甜食（健康的食物也最好也不要给），还要继续用各种吃的逗小蛮，逗到孩子哭着说：“我不吃，会胖！”。然后她哈哈大笑，简直气炸！ ​		,我家的小蛮,//weibo.com/1736054365/G3DIr8Nc2?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,9,		【钢炼真人版登陆Netflix】Netflix发布《钢之炼金术师》真人版英字预告片。该片由山田凉介主演，去年12月上映，明天起可在Netflix上观看。之前看过Netflix上的真人版《死亡笔记》，全部美国演员，真是…一言难尽。其实以钢炼的故事背景用欧美演员或许可行，没准违和感会比现在这预告少一些 ​			...展开全文c,谷大白话,//weibo.com/1788911247/G3DAXwUP2?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,10,		《红海行动》，看过的都说好，今天你去看吗？ ​		,局座召忠,//weibo.com/6049590367/G3Dvu30cL?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,11,		【 天开一岁暖，花发四时春 … 】 ​		,中国书画诗词院,//weibo.com/2804506181/G3DxslsWM?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,12,		【平庸的人只会纸上谈兵，优秀的人懂得身体力行】今天大年初三，新的一年， 你有什么新计划吗？好的生活需要你的用心经营，机会只会留给那些做好准备的人。每一次普通的改变，都可能改变普通。从今天起，早睡早起、按时吃饭、不再熬夜…努力做到这9个改变↓↓新的一年，与全新的自己不期而遇！早安！ ​		,人民日报,//weibo.com/2803301701/G3DwE7S0X?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,13,		《红海行动》，看过的都说好，今天你去看吗？ ​		,局座召忠,//weibo.com/6049590367/G3Dvu30cL?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,14,		有的亲戚实在是太讨厌，明明反复告知了不能乱给小蛮吃东西，不能吃甜食（健康的食物也最好也不要给），还要继续用各种吃的逗小蛮，逗到孩子哭着说：“我不吃，会胖！”。然后她哈哈大笑，简直气炸！ ​		,我家的小蛮,//weibo.com/1736054365/G3DIr8Nc2?refer_flag=1001030103_
集体行动; 2018-02-18; 1; 5,15,		上师和老师不一样，学生一旦毕业，就与老师天各一方，几乎再无交集；而上师即使离开了，也会时时陪伴着我们的成长，指引着我们的人生方向。 ​		,慈诚罗珠堪布,//weibo.com/1397323170/G3DwZD35N?refer_flag=1001030103_
