query,Post ID,Post Content,nickname,link
示威; 2018-02-21; 1; 25,1,		当一个贱人向你示威的时候…就应该让她贱的彻底…是哪里来的自信，让贱人这么吊炸天…不是我不善良…是你这么贱你知道吗 |上海·四团... ​		,LATOJA--辣妈,//weibo.com/1246501060/G46rCbS4I?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,2,		《霸气！中国齐射10枚东风导弹“向美国示威”》霸气! 中国齐射10枚东风导弹“向美国示威” |霸气! 中国... 霸气! 中国... ​		,国风小鑫,//weibo.com/6482580568/G46roBaz4?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,3,		022001一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为 ​			...展开全文c,荒唐的木子祥,//weibo.com/2426977997/G46pZrrbH?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,4,"		捐款名单在扩大，制作人Jeffery & Marilyn Katzenberg夫妻, 斯皮尔伯格导演夫妻，Oprah Winfrey都捐出了50万美金加入白宫前示威学生的运动		",viennelj,//weibo.com/5457038985/G43lvd2bi?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,5,	  乔治克鲁尼和妻子以他们儿女的名义捐赠50万美金（300多万人民币）以支持枪支控制 ​	,NA,//weibo.com/5457038985/G46pj9lqP?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,6,闲吓到了吧//@酷晙耐:啊 这种小狗谁不喜欢啊！//@妙龄米奇妮妮:假装很凶的崽呜 想把小奶狗拐回家//@KOOPENGPENG:假把式一个//@Ju-n7e:我的天哪 nh小男生真的是很调皮啊//@LoveInA_Mist-:啊仔细看发现崽崽根本没打到哥哥 还控制着力道 是宠爱噜 奶狗的示威好怕怕哦wwwwww,追康不悔,//weibo.com/3566929265/G436AiTPa?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,7,cr.Konis_attic ​	,NA,//weibo.com/5216120419/G46lWxqKp?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,8,		022001一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为天 ​			...展开全文c,人生生生如茶,//weibo.com/3167365327/G46l4rLhs?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,9,		美国双航母向中国示威 中方霸气回应派10艘来南海也没用！ 西瓜视频 网页链接 ​		,用户5928472070,//weibo.com/5928472070/G46kRe4d9?refer_flag=1001030103_
示威; 2018-02-21; 1; 25,10,#搜狐新闻(资讯版)#《美国双航母向中国示威 中方霸气回应派10艘来南海也没用！》美国双航母向中国示威 中方霸气回应派10艘来南海也没用！网页链接 ​		,宅宅男2014,//weibo.com/2616440865/G46krb16Q?refer_flag=1001030103_
