query,Post ID,Post Content,nickname,link
反腐; 2018-02-21; 1; 25,1,		“反腐不应该反职工福利”坚决支持！怎么每次好事挨不到，坏事每次都是老百姓跟着受牵连。。。 ​		,苏菲亚的狂想之歌,//weibo.com/6460700921/G45EpuvLE?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,2,		二是这种不公正个别的低能施政行为，错在实施规定的人有意错为甚至贼喊捉贼：他们便借反腐除掉对手……因大白于天下的规定也不可能错、老问题经没错，一是规定没错[j疯了] ​		,啃大饼的芝麻,//weibo.com/2152646615/G45DzuUl9?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,3,@民生新闻调查评论网:有很多驻京办在京行贿官员，截访或者非法关押进京上访人员。百姓遇到的问题如果在当地能够得到解决，为啥要到北京去上访呢？傻子都明白的道理，难道官员们不明白？贪污腐败、执法犯法，让信访百姓的维权之路难上加难。希望反腐之剑早日斩断腐败的黑手，让信访的百姓早日拨云见日		,07一2,//weibo.com/3942029945/FiRwK0JUr?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,4,	  我发表了头条文章:《反贪腐 反迫害 (修改版)》 |反贪腐 反... |绵阳·双碑 ​	,NA,//weibo.com/6199945317/G45AUltEf?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,5,@民生新闻调查评论网:有很多驻京办在京行贿官员，截访或者非法关押进京上访人员。百姓遇到的问题如果在当地能够得到解决，为啥要到北京去上访呢？傻子都明白的道理，难道官员们不明白？贪污腐败、执法犯法，让信访百姓的维权之路难上加难。希望反腐之剑早日斩断腐败的黑手，让信访的百姓早日拨云见日		,07一2,//weibo.com/3942029945/FiRwK0JUr?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,6,	  我发表了头条文章:《反贪腐 反迫害 (修改版)》 |反贪腐 反... |绵阳·双碑 ​	,NA,//weibo.com/6199945317/G45Ah2gMw?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,7,@07魏克燕反腐敢死队队员:反腐维权的访民还有出头之日吗？！//@511678aa:比打鬼子要难百倍！//@07魏克燕反腐敢死队队员: 难道比打鬼子还难吗？//@郁垒002:冤案的推动，是持久战，是背水一战!//@郁垒002:反迫害，反贪腐——和党中央高度一致呀！//@公益大使20171012:转发微博		,07一2,//weibo.com/3942029945/FiRwK0JUr?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,8,	  我发表了头条文章:《反贪腐 反迫害 (修改版)》 |反贪腐 反... |绵阳·双碑 ​	,NA,//weibo.com/6199945317/G45A6aMeV?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,9,"#平昌冬奥会##让红包飞##老板喊你上船#他在教室里大声宣讲反“腐”知识，一脸憎恶，没发现身后班长满是玩味的表情。下课后，“你你你…你要干什么！!！”“你不是要反腐吗？而且只是说到同性恋就一脸厌恶,想必和我一起也很勉强吧,那我们就到此为止好了。”“别啊啊啊，我错了QAQ ”“那今天晚上知道该 ​			...展开全文c",我只愿把心掏给你,//weibo.com/3962467678/G45z0bYgI?refer_flag=1001030103_
反腐; 2018-02-21; 1; 25,10,"		无锡法官腐败透顶，执法犯法，收此杀人凶手朱静芬几十万贿赂〈证据，由法制报记者交江苏省政法委〉。无锡法官和党中央唱对台戏，公然对抗党中央""有腐必惩，反腐永远在路上""的决策，袒护腐败，庇护恐怖残暴杀人凶手！违纪违法，对抗法律，不执行省检察院抗，不执行最高院督办组亲临无锡法院督办此案重审		",用户6312834748,//weibo.com/6312834748/FF3JIpv3Z?refer_flag=1001030103_
