query,Post ID,Post Content,nickname,link
集体行动; 2018-02-24; 1; 5,1,		真金白popo125银继续支持红海行动，明天本虎带西安的兄弟们集体去观影！话说西安电影票比北京便宜多了 ​​​ 832888098 ​		,欧诗漫正品专卖,//weibo.com/3720384487/G4BLqvK7k?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,2,		真金白银继续支持红海行动，明天本虎带西安的兄弟们集体去观影！话说西安电影票比北京便宜多了 ​​​heha456 832888098 ​		,holloyes,//weibo.com/1213560745/G4BxnqtUP?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,3,#刘诗诗如果可以这样爱##刘诗诗##刘诗诗米兰国际时装周# 今天去看了红海行动，好看的呀，个人感觉比战狼2好看一点，估计是因为吴京导演拍的时候资金不太足。红海从头打到尾，全程劲爆，不是个人英雄主义，感觉更强调集体配合的团战，战争场面更加真实，强烈推荐 ​		,宝宝叉会儿腰,//weibo.com/3564368605/G4BwM9ny3?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,4,#边境之旅#较之踏入现实社会在集体中行动，还是留在需要系统性处理知识的技能和相对注重个人才学的天地里与自己更为适合。 ​		,四叶草de旋律_471,//weibo.com/5342590489/G4Bw1cOc5?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,5,#边境之旅#较之踏入现实社会在集体中行动，还是留在需要系统性处理知识的技能和相对注重个人才学的天地里与自己更为适合。 ​		,super雨style_433,//weibo.com/5193347402/G4Bw0B931?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,6,		今天，镇农业线召开工作例会，会议对扶贫“十百千万”攻坚行动、村集体经济发展、各村景观绿化种植、农业基础设施投入、全域旅游、水利工程、河长制等工作进行了相关部署并进行了分工，明确了下一步的工作安排。 ​		,李家巷发布,//weibo.com/3851887227/G4BuChUdi?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,7,		我喜欢不迟到的人。喜欢不说谎的人。喜欢有真性情的人。我也喜欢沉默的说话适可而止的人。喜欢说出的话与行动相符的人。喜欢内心有温柔和想象力的人。喜欢对一切持有善意而又有力的人。喜欢内心有价值观态度坚定不屈服于集体的人。喜欢孩子一样容易付出容易受伤容易复原的人。喜欢相信爱和实践爱的人。 ​		,阿晨爱婧儿有深度,//weibo.com/3975939209/G4Bq1rIat?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,8,|红海行动，国产海军征兵宣传片！拍的是真好！佩服！只可惜这片出晚了，但凡早点，没狼二啥事儿啊！红海少很多个人主义，更多的是集体荣誉感、军人记忆和国家情怀，大气拍的是真好啊！细节不谈了，这年头好莱坞大片全动画，真没这个厉害！ ​			...展开全文c,哎呦Lynn,//weibo.com/1147820960/G4BlOxQ4j?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,9,|红海行动，昨天刚刚看完这边电影，印象很深刻。这部电影很符合我的价值观，没有太过的个人英雄主义，没有主角光环，整个围绕的是对团队合作的诠释是集体主义的体现，这部电影很真实演绎了本真的世界。多亏了海军爸爸的撑腰，这部电影没有因为广电而删减。看 ​			...展开全文c,毛堆堆,//weibo.com/5756079425/G4BjfwS4O?refer_flag=1001030103_
集体行动; 2018-02-24; 1; 5,10,"#为你开心,风都知道#较之踏入现实社会在集体中行动，还是留在需要系统性处理知识的技能和相对注重个人才学的天地里与自己更为适合。 ​		",杨晓丹_158,//weibo.com/1739911955/G4B8xikoV?refer_flag=1001030103_
