query,Post ID,Post Content,nickname,link
反腐; 2018-02-19; 1; 10,1,		去看了一下原博，虽然当初贪慕虚荣，但是男的被举报也是活该，民告官难//@Winnie-噗噗熊:吃瓜（老腿哈粗）是原博的麼～//@EricTsui:反腐没毛病，打女人的是SB，另原po跟薛之谦的前女友一类型的，谈恋爱注意避让。//@Silk_River_Research:国资委主任和科长父子有这么多房子，个人房产信息不得公开		,emy咪酱,//weibo.com/6471000656/G2QdrsWNf?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,2,	  我王燕茹原银行职员现实名举报原扬州采购科科长黄宇道德败坏，行凶打人，家庭巨额财产来源不明，婚后上班时间利用财政局身份多次开房，态度恶劣，气焰嚣张，打击报复实名举报人@清风扬州 ​	,NA,//weibo.com/2700548130/G3MlFtipo?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,3,//@天凶://@林起:儿媳妇也成反腐利器了。//@一叶知秋足彩:@林起 @人民日报 //@林建楊:右边是举报者本尊。这是最新情况，大家有问题也可以问她。//@王燕茹实名举报：我是本人，现在黄宇停职了，他爸还没有处理。		,咖喱末,//weibo.com/1432458327/G3vuF1NGU?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,4,	  【实名举报，一定转】“我是王燕茹，女，32岁，扬州中行员工，现实名举报原扬州市国资委主任，中共党员黄道龙（65岁）和其子扬州市资源交易中心政府采购科科长、中共党员黄宇（36岁），拥有来历不明的房产、珠宝、书画、成套的红木家具、豪华轿车及大量的银行卡和现金，资产高达几千万。” ​	,NA,//weibo.com/1781240781/G3MkYkrb5?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,5,		【新闻敲诈的式微】对21世纪系的打击，官媒的自我审查，都说明了依靠新闻敲诈获取盈利再也不可能光明正大走下去了。今年上半年一家非常著名的杂志盈利才50万，若无各类活动支撑，早就办不下了。纸媒的衰败面临市场和反腐的双重夹击，媒体人除了转型、出走和创业别无他法。树倒猢狲散的场景迟早到来。 ​		,sylviasyy的秘密,//weibo.com/1890896940/G3MiFie1P?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,6,@紫光阁#紫光阁反腐##紫光阁社评##紫光阁独家##国家赔偿行政诉讼##国家监察委员会##盘点2017##微党课##平安北京# #案件微播报##人民日报##国家公务员##山东公务员##法治中国##法律##新闻##头条##2017城市记忆# 丧失人性，泯灭党性！胆大妄为，胡作非为的流氓无赖！以人民的名义，要求政府，严惩罪犯！		,淄博内幕新闻,//weibo.com/6375051228/G2fBRvN5F?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,7,#首都警务报道##实事警务传真##警务创客·强警惠民##国内警务要闻##警务实战##警务动态##中国警务新闻##百姓警务室##公安##警察##警察·说#『实名举报：职务侵占罪罪行滔天，经侦“不予立案”_淄博内幕新闻』网页链接 ​​​	,NA,//weibo.com/5893679918/G3MideB6l?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,8,@紫光阁#紫光阁反腐##紫光阁社评##紫光阁独家##国家赔偿行政诉讼##国家监察委员会##盘点2017##微党课##平安北京# #案件微播报##人民日报##国家公务员##山东公务员##法治中国##法律##新闻##头条##2017城市记忆# 丧失人性，泯灭党性！胆大妄为，胡作非为的流氓无赖！以人民的名义，要求政府，严惩罪犯！		,淄博内幕新闻,//weibo.com/6400654123/G1J3MvwOH?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,9,#警方通报##公安新闻##案件微播报##人民日报# @人民日报 @检察日报 @南方周末 @CCTV焦点访谈 @CCTV今日说法 @人民的名义官微 @人民公安报总编室 @CCTV看点 @法制网 @法制晚报 @民主与法制网官方 @央视新闻 @中央人民广播电台@人民公安报@山东省公安厅经侦总队 @人民网山东频道 @山东警务督察    ​		...展开全文c,NA,//weibo.com/5893679918/G3Mi8w7qM?refer_flag=1001030103_
反腐; 2018-02-19; 1; 10,10,@紫光阁#紫光阁反腐##紫光阁社评##紫光阁独家##国家赔偿行政诉讼##国家监察委员会##盘点2017##微党课##平安北京# #案件微播报##人民日报##国家公务员##山东公务员##法治中国##法律##新闻##头条##2017城市记忆# 丧失人性，泯灭党性！胆大妄为，胡作非为的流氓无赖！以人民的名义，要求政府，严惩罪犯！		,淄博内幕新闻,//weibo.com/6400654123/FvYofhn8x?refer_flag=1001030103_
