query,Post ID,Post Content,nickname,link
集体行动; 2018-02-19; 1; 10,1,|红海行动，给9分！跟战狼2比较是必然了，个人更喜欢红海行动。因为相对于吴京的个人英雄主义，我更喜欢红海行动的集体英雄主义。集体英雄主义在今天也更加贴合现实需要。故事全程紧凑无尿点<虽然我中间有去厕所>，画面残酷得十分真实震撼，尤其是炸掉的汽车 ​			...展开全文c,omg迷张孝全,//weibo.com/1584384495/G3Lciu77P?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,2,|红海行动，为中国军人点赞，如果说《战狼2》突出的个人英雄主义，那么《红海行动》更凸显集体主义，场面要比《战狼2》宏大，从头打到尾，太过瘾了。 ​		,葡式蛋挞Orz,//weibo.com/1691122115/G3L585hcC?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,3,		看到红海行动口碑不错，就拉着我妈去看了。真的是从头打到尾啊不过这片子最好的一点是没有主角光环，战争很残酷必定会伴随着牺牲，007是不存在的。个人英雄主义的片子无论宣扬的是什么总会把我看笑。集体英雄主义就还好。片子战斗部分相对真实。ps:既然是海政出品，还不拍舷号 ​		,devil_maybe,//weibo.com/1760166095/G3KNWcAx0?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,4,		大晚上看红海行动看的热血沸腾，同时吓的腿都麻了，还不忘全程找我顾顺@Johnny黄景瑜 如今太需要这样的集体英雄主义的爱国篇了。勇者无畏，强者无敌 ​​​		,关关雎鸠Gsy,//weibo.com/3921285110/G3KKDtWui?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,5,		这两天就是喜欢和你们在一起呀红海行动好看 节奏很紧密 很燃 集体精神很突出 也很真实 血腥和杀戮 在乱世谁都避不开 不管你是哪国人还是我们和平地带好呀 ​		,徐丹丹little_sun,//weibo.com/3171027687/G3KD0oa0A?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,6,		红海行动心心念念期待已久，终于去看了，超出了我的预期，看之前对装备做了一定的了解，电影装备的使用让我对剧组无比敬佩，精心雕琢! 我们的军人不是超人钢铁侠，他们有血有肉有信仰，用他们的血肉灵魂牺牲自己去捍卫信仰与国之尊严!我们军人用集体英雄主义在守护我们的安宁祥和! 可惜院 ​			...展开全文c,晖之所至,//weibo.com/5774518814/G3KzRkPlK?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,7,		姐姐家这只猫大概是我这辈子摸得最安心的一只猫 超乖的 一点都不怕它 无论是电视还是平板它都爱看 没毛病《红海行动》特别像战狼2吧 大的不同大概就是渲染集体情义和个人主义的差别吧很多血腥的镜头 看着虽然有点不舒服吧但确实触动人 战争很真实很残酷 |株洲·王府... ​		,Serenade____,//weibo.com/3185729940/G3KoY9v2K?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,8,|红海行动，很燃。一直觉得这类题材作品，包括“高于生活”的电影，都不该过分强调个人主义，团队和集体的力量才是无穷的。每个士兵的分工与配合，尖端武器装备的运用，紧张激烈的战争场面，真是让人舍不得错过一个镜头一句台词。人物性格鲜明，都立住了。有这样一 ​			...展开全文c,沉入海底的白尾鱼,//weibo.com/1408833722/G3Kmbgm1A?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,9,mark一下今天的全家六口汗蒸之旅这也是难得能受到我妈好评的集体行动 ​		,Sheryl霏,//weibo.com/3946403451/G3KlRvOlU?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,10,#电影红海行动# 事件略微仓促，镜头晃得厉害(非专业 自我感觉)，但是全程无尿点，槽点可爱，只是我全程找人hhh，打斗戏爆破戏武器一流，达到展示中国肌肉的目的，看完电影升起一股浓浓的爱国情操和民族自豪感(夸大ing~)。逃不掉与战狼比较的命运，我个人觉得是个人英雄主义与集体英雄主义(略有不贴合) ​			...展开全文c,-棠娇,//weibo.com/3820044746/G3KjDccnw?refer_flag=1001030103_
