query,Post ID,Post Content,nickname,link
示威; 2018-02-19; 1; 10,1,		转 // #天天快报# 《如果被流浪狗攻击，该怎么办？》近些年，总是有很多流浪狗攻击人的新闻。那当我们遇到带有攻击性的流浪狗该如何做呢？ 当带有攻击性的流浪狗接近你的时候，你可以尝试示弱或者示威.因为狗狗是看人欺负的。如果你示弱或者表现出你比他厉害的话都可 |如果被流浪... ​		,Els磐石,//weibo.com/5736300110/G3LYt45TG?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,2,		星島標題：八大校長籲政府與學生對話 近千示威者夜圍特首辦 ​		,爱Aaron-131496的小心情,//weibo.com/6435749138/G3Lrt3Gkz?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,3,		夜里快三点，楼下一群男女大声说笑着走过。不远处洪亮地，底气十足的，震慑力满分的犬吠随之响起。那叫声我熟悉，几乎每次路过那个别墅区都能听到它来者皆不善的示威，怕是一只藏獒吧。应该只能整日被关在笼子里，它的叫声就是它原始的威严。狗的主人每日该不会半夜被狗叫声叫醒吧？我毕竟也是因为失眠 ​			...展开全文c,微微的风April,//weibo.com/1684166110/G3Lntoe4g?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,4,		初识不知曲终意，再听已是曲终人，听得懂的是经历，听不懂的是幸运。   刘若英《后来》现场版~ 芯話的微博... ​		,芯話,//weibo.com/2293429280/G3LMVo8Ij?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,5,		塞维利亚人向来不好惹，红色是如此，绿色也是。但是，我真爱这座城市，他们爱与恨都肆无忌惮。 ​		,贺炜,//weibo.com/1684502353/G3LXeuq4l?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,6,		半夜突然想说说一段话…  关于“公交车”这三个字。  其实有时候我自己内心也会劝自己算了吧，别去和那些人纠结了。纠结的下场不过是落了个“女权癌”的名号，除此之外呼吁之后得不到任何尊重，而是变本加厉的侮辱。这似乎就好像别人知道了你的软肋在哪，就拼命地戳。是啊名节这东西，像枷锁套牢 ​			...展开全文c,可爱又迷人的卢本盒,//weibo.com/5882951422/G3LL6apDS?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,7,		“来自直男男票的情人节礼物” ​		,北美吐槽君,//weibo.com/3177527181/G3LM54IYf?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,8,		你愿意接受挑战吗？ #搞笑# ​​​​		,全球幽默趣事,//weibo.com/1852220282/G3LMd09Vj?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,9,		“来自直男男票的情人节礼物” ​		,北美吐槽君,//weibo.com/3177527181/G3LM54IYf?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,10,		发布了头条文章：《儿子不想上大学了！》 |儿子不想上... ​		,mandarinpassion,//weibo.com/2355826014/G3LRx8REC?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,11,		初识不知曲终意，再听已是曲终人，听得懂的是经历，听不懂的是幸运。   刘若英《后来》现场版~ 芯話的微博... ​		,芯話,//weibo.com/2293429280/G3LMVo8Ij?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,12,		【灵性猫咪深夜引路带迷路司机走出森林】近日这段记录了迷路司机回家路的视频在网上火了！送司机回家的是一只小猫咪! 该司机表示：“在深夜里的不知名深山中迷路，简直太糟糕了。如果没有这只猫咪，恐怕我们当晚走不出那座山。它引导我们安全走出深山。”@时间视频时间暖视频... ​		,头条新闻,//weibo.com/1618051664/G3LJhhkvd?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,13,		上半场结束，皇马客场1-2落后贝蒂斯。 ​		,皇马新闻,//weibo.com/1990309453/G3M01orzL?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,14,		上半场结束，皇马客场1-2落后贝蒂斯。 ​		,皇马新闻,//weibo.com/1990309453/G3M01orzL?refer_flag=1001030103_
示威; 2018-02-19; 1; 10,15,		北京……达拉斯……圣地亚哥……蓬塔阿雷纳斯……麦哲伦海峡……终于不飞了 |智利·企鹅... ​		,闲人王昱珩,//weibo.com/5400369364/G3LMjebZo?refer_flag=1001030103_
