query,Post ID,Post Content,nickname,link
反腐; 2018-02-20; 1; 25,1,@邱普中:无耻就无耻，反正是破罐子破摔呗 @人要点灯_pbp:一个国家的司法机关竟然无耻到这种程度，还有什么资格和脸面狂吹这个社会就是法治社会？@抢提包: 牵一发而动全身，利益链条@道借时空: 贪官天天落马，访民不见人扶。反腐为谁反腐？官僚似虎似蝇，祸国何时到头？		,抢提包,//weibo.com/2801072800/Fb6bT9ARC?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,2,	  我在湖北省阳光信访--微信平台上举报的问题。即，襄阳监狱违规建房，襄阳规划局多次修改规划，房管局处罚购房人、而不是违建者。投诉至信访局，可惜，竟然1、将我投诉的问题转至随州市曾都区（图3）2、襄阳市规划局给我的回复是给别人的回复（图4）3、答非所问。反腐、正风成笑话！ ​​​ ​		...展开全文c,NA,//weibo.com/2801072800/G42Q6veR5?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,3,		国际奥委会和国际足联都属于手握巨大权力和资源却又无人监管的组织，黑幕多得数不胜数。抱团、分伙、黑吃黑、利益交换、黑裁判、和彩票勾结等等，绝对超过所有影视作品。每一次反腐都不了了之。要想在这样的黑组织里有话语权，我们要走的路还很长。 ​		,湛若秋水,//weibo.com/1599373522/G42OB6y5j?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,4,		韩国给钱了，你没给钱，反腐也不能不给钱，这次就是个警告，下次在家门口你看着办，你面子想不想要了？（我国在各项运动界的国际话语权太低了！！！）		,六里站,//weibo.com/1638781994/G42MzxmxD?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,5,#冬奥打call# 【中国裁判：中国队确有碰撞 没判韩国队莫名其妙】某位国际裁判在采访中表示，对于中国和加拿大的判罚没有偏离规则，但对韩国的判罚显得莫名其妙。“今晚决赛中，韩国在交接的时候有队员摔倒了，绊倒了加拿大选手。但这个动作没有判。通过电视画面来看，韩国人的动作是很明显的，但是依然 ​		...展开全文c,NA,//weibo.com/2318702804/G42Ou2ddl?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,6,		//@用户6447854317：为我们的企业自豪 南京反腐打老虎 还我企业清白		,不做蛀虫DH,//weibo.com/6274370264/G425w84mq?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,7,	  轻鸿翱空伴羽翔，科技为翼展辉煌。航空史上出奇功，安的此术数钱旺！ ​	,NA,//weibo.com/6457245394/G42OrDXw2?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,8,		全民反腐，发扬朝阳区群众精神，让大老虎和黑狗小苍蝇无处遁形//@用户6447854317:为我们的企业自豪 南京反腐打老虎 还我企业清白		,金鱼儿6450696617,//weibo.com/6274370264/G425w84mq?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,9,	  轻鸿翱空伴羽翔，科技为翼展辉煌。航空史上出奇功，安的此术数钱旺！ ​	,NA,//weibo.com/6450696617/G42NOnMnO?refer_flag=1001030103_
反腐; 2018-02-20; 1; 25,10,		“反腐不应该反职工福利”坚决支持！怎么每次好事挨不到，坏事每次都是老百姓跟着受牵连。。。 ​		,就叫采蘑菇的姑娘1106,//weibo.com/6422743727/G42MZvwjx?refer_flag=1001030103_
