query,Post ID,Post Content,nickname,link
集体行动; 2018-02-20; 1; 25,1,		//@看他穿小短袖:情敌越来越强大//@倒过来念的阿拉蕾://@若殿的蜜汁小裙摆://@BuTaU酱:彩姐这个行动力 都追去平昌了还拿着炮拍 记得以前彩还模仿过牛//@dreamer89143://@Hanyukoko: //@UKNOW-YUZU柚:hhhhh肥秋系到底多少妹子喜欢羽生结弦，该不是平时后台集体追星吧hhhhh		,柚子小天使的晗予Eimon,//weibo.com/5509421438/G3OvE4mma?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,2,#山本彩# 180219 とくダネ cut  http://t.cn/RRdeJ2q ​	,NA,//weibo.com/3220802301/G3Ycv2Ux7?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,3,		//@倒过来念的阿拉蕾://@若殿的蜜汁小裙摆://@BuTaU酱:彩姐这个行动力 都追去平昌了还拿着炮拍 记得以前彩还模仿过牛//@dreamer89143://@Hanyukoko: //@UKNOW-YUZU柚:hhhhh肥秋系到底多少妹子喜欢羽生结弦，该不是平时后台集体追星吧hhhhh		,相声演员托马斯,//weibo.com/5509421438/G3OvE4mma?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,4,#山本彩# 180219 とくダネ cut  http://t.cn/RRdeJ2q ​	,NA,//weibo.com/3005263865/G3YbB9TbP?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,5,		不得不说红海行动比战狼更真实残酷!带家人刚看完，电影院座无虚席太赞了!有战争就有流血有牺牲，现实中的军人没有个人英雄主义，只有集体责任感，直面战争的残酷和勇气!珍惜和平吧，这世界上没有什么比战争更残酷!没有长久的和平，只有负重前行的军人!军人殉国，魂佑疆土，愿他们的灵魂能够在故土安息		,落尘寰1990,//weibo.com/1662055430/G3IbZFleY?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,6,	  我就这样静静地等着过5亿#电影红海行动# ​	,NA,//weibo.com/1959241797/G3YbABLlc?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,7,		不得不说红海行动比战狼更真实残酷!带家人刚看完，电影院座无虚席太赞了!有战争就有流血有牺牲，现实中的军人没有个人英雄主义，只有集体责任感，直面战争的残酷和勇气!珍惜和平吧，这世界上没有什么比战争更残酷!没有长久的和平，只有负重前行的军人!军人殉国，魂佑疆土，愿他们的灵魂能够在故土安息		,落尘寰1990,//weibo.com/1289986124/G3SAMdcZE?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,8,	  《红海行动》今天进入里程碑的一天！我们从初一排片10%的劣势起航，仅仅四天后...排片翻倍，单日票房翻倍，单日突破两亿关口.作为这个团队里一员，我要向全体红海行动的幕后人员敬礼！因为您们每一位对电影的爱，无言的辛劳付出才有了今天的有口皆碑！感谢你们！电影是个梦，你们才是圆梦的人[爱心] ​		...展开全文c,NA,//weibo.com/1959241797/G3Ybty1c6?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,9,		哇直接飞平昌了//@hanyutopia:真是彩姐…我靠我居然跟彩姐坐在一个场子里我应该去握个小手啊//@若殿的蜜汁小裙摆://@BuTaU酱:彩姐这个行动力 都追去平昌了还拿着炮拍 记得以前彩还模仿过牛//@UKNOW-YUZU柚:hhhhh肥秋系到底多少妹子喜欢羽生结弦，该不是平时后台集体追星吧hhhhh		,麟玦玦玦,//weibo.com/5509421438/G3OvE4mma?refer_flag=1001030103_
集体行动; 2018-02-20; 1; 25,10,#山本彩# 180219 とくダネ cut  http://t.cn/RRdeJ2q ​	,NA,//weibo.com/3983275791/G3YaXzQFn?refer_flag=1001030103_
