query,Post ID,Post Content,nickname,link
示威; 2018-02-20; 1; 25,1,#中国赞##公益资讯#目前，印尼境内的苏门答腊虎只留存不到400只。近日，印尼雅加达，“绿色和平”组织的成员身着老虎装抱树参加抗议示威，呼吁政府加大措施保护苏门答腊虎。想问问大家对此事有何看法t.cn/zOllWcd ​		,爱Vision_44302,//weibo.com/3391388894/G3XEv0dBN?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,2,		【视频】美国佛罗里达州校园枪击案，引发学生示威，要求当局收紧枪枝管制。在多方压力下，总统特朗普表示，支持对拥枪者实施更严厉的背景审查。http://t.cn/RRDn6Ru ​		,8频道新闻新加坡,//weibo.com/3701555977/G3XxPAt2v?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,3,		考没有丝毫错乱。摇头道：“我以为慕容垂是要逞威风哩！特ULC997别是向徐爷示威，因为徐爷争 ​		,青春的朱璇XXZ,//weibo.com/6224913822/G3XtlwKRb?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,4,		//@唱响内蒙古大学:“近朱者赤，近墨者黑”，像内蒙古大学让冯福林（为了捞钱招生造假已经违纪违法至今逍遥法外不说，还在网上上蹿下跳很是活跃！）负责学生工作能搞好吗？更奇葩的是冯福林竟被内大评为“教书育人”的先进！不知道内大党委书记朱炳文想要干什么？向谁示威？这场闹剧还要演到何时收场？		,拯救内大,//weibo.com/2974325495/FerWA9nsj?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,5,	  【非思政课专业教师应特别增强授课中的思想政治教育意识】专业课的教学过程也是育人过程，需要从思想政治教育的高度，把好方向、把牢大局，认识到自身的世界观、价值倾向和道德品行会影响青年学生，甚至自身不经意的一句话，一个动作，处理的一件小事都会给学生一生留下印象、产生影响。via红旗文稿 ​	,NA,//weibo.com/1986080860/G3XrJEZnq?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,6,@吴彤 你为什么关微博评论……你在怕些什么……为什么删掉艾特小源的微博……敢公开diss就别怕啊……还有王牌对王牌官方编辑的微博为什么会艾特错人……你们在示威给谁看……不许任何人欺负我们的小可爱……他还是未成年……从此拉黑关于你们的一切…… ​		,源嘟嘟的小白,//weibo.com/5237705065/G3XjQ4zxb?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,7,@Mr_凡先生 @M鹿M @TFBOYS-王俊凯 @王思聪 @努力努力再努力x @陈欧 你们要是把我惹急了，我就去跳楼示威,我只不过是疯了,//weibo.com/5501429448/G3XisDQkJ?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,8,	  饿，大过年的，给我条鱼鱼。。 http://t.cn/RRDj8sV ​	,NA,//weibo.com/6190937326/G3XjbyNo6?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,9,"		Picket, 是抗议示威的意思。美国编剧协会跟电影电视制作人联盟的谈判失败，决定举行抗议示威， ""Writers in Los Angeles plan to picket outside of 14 studios until a new deal is reached."" 在洛杉矶，剧作家们计划在14个制片公司外面抗议，直到达成新协议为止。		",那叫个啥啊,//weibo.com/5092177710/G3WzOv3fU?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,10,"今天我们要学的词是picket [ˈpɪkɪt] 。 Picket, 是抗议示威的意思。美国编剧协会跟电影电视制作人联盟的谈判失败，决定举行抗议示威， ""Writers in Los Angeles plan to picket outside of 14 studios until a new deal is reached."" 在洛杉矶，剧作家们计划在14个制片公司外面抗议，直到达成 ​		...展开全文c",NA,//weibo.com/2312816277/G3Xj0j7Aw?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,11,		【乌克兰历史】基辅独立广场原工会大楼在2014年尊严革命期间，示威者们驻扎在这里，数百位伤者在此接受医生和志愿者们的治疗和帮助。但在2014年2月18日当晚，反示威者聚集在这里，攻击该建筑，造成巨大火灾。众多伤者因此无法逃离。而位于楼外的救援人员也因为火势太大无法靠近建筑物，更没有办法 ​			...展开全文c,乌克兰驻华大使馆文化中心,//weibo.com/5232271465/G3XeD4M9m?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,12,		每次都示威，每次都没下文		,王海鹏Seal,//weibo.com/3176804502/G3X0zCtNL?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,13,	  今天（2月19日）当地时间上午，在佛罗里达校园枪击案后，一群美国中学生总统府白宫前集会示威，向政界施压改革枪支管控法律，他们还在白宫前的水泥地躺下来要求总统采取行动。… http://t.cn/RRDOOzP ​	,NA,//weibo.com/1632016961/G3X4VqNwQ?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,14,		今天（2月19日）当地时间上午，在佛罗里达校园枪击案后，一群美国中学生总统府白宫前集会示威，向政界施压改革枪支管控法律，他们还在白宫前的水泥地躺下来要求总统采取行动。… http://t.cn/RRDOOzP ​		,况秀猛,//weibo.com/3176804502/G3X0zCtNL?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,15,		算了，不用向你示威，且是测试你在边荒集的影响力DIT752。” ​		,差距童鞋鱼,//weibo.com/6437836153/G3WUZB3f2?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,16,		吴彤你是在示威吗,大部分时间都在学习的KYO,//weibo.com//G3UtTlyj3?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,17,	  抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBJrG ​	,NA,//weibo.com/5873574627/G3WRWuSSO?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,18,		发表了一篇转载博文《[转载]示威》http://t.cn/RRD9vzK ​		,好想云雨9,//weibo.com/6407117199/G3WBKr0gm?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,19,"今天我们要学的词是picket [ˈpɪkɪt] 。 Picket, 是抗议示威的意思。美国编剧协会跟电影电视制作人联盟的谈判失败，决定举行抗议示威， ""Writers in Los Angeles plan to picket outside of 14 studios until a new deal is reached."" 在洛杉矶，剧作家们计划在14个制片公司外面抗议，直到达成 ​			...展开全文c",英语舌,//weibo.com/5092177710/G3WzOv3fU?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,20,		世界观都要崩塌了 西游记的版权真的给他们了吗 这样瞎演西游记 毁了我们的西游记 这是韩国向中国示威？？？		,那些可悲而又傻X的执着,//weibo.com/3985287068/G3y0l0VNa?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,21,#李昇基# #吴涟序#《#花游记#》第15集船戏难道剧情是这样的吗？先是三藏诱惑，说时迟那时快，我们悟空一个翻身，轻抚三藏面颊，接着三藏为悟空宽衣……死守今晚直播！！！ ​​​​	,NA,//weibo.com/1912535993/G3WjurRoQ?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,22,#华晨宇第一# 【电影#法外之徒#】影片以1962年，法国政府被迫承认阿尔及利亚独立的这段历史为背景，讲述三兄弟因参与独立运动而各奔东西的故事。在戛纳电影节上映时有超过千名示威者手拿标语在影院外抗议，他们指责政府允许这样一部反法的影片在法国公映。 ​		,夏之谦生活汇,//weibo.com/2098999867/G3WfRe8Bq?refer_flag=1001030103_
示威; 2018-02-20; 1; 25,23,		//分享网易新闻:《校园枪击案频发 美国学生示威要求修改法令控枪 》 http://t.cn/RRDaRMQ @网易新闻客户端 #网易新闻#好 ​		,飞立王人,//weibo.com/6079106806/G3Wfd3aaj?refer_flag=1001030103_
